"","X","date.dd.mm.yy.","bd_liz_id","MR_O2_min","marker_sample","FMS","time","Geno.pheno","Date.Hatched","Phenotypic.Sex","Genotypic.Sex","mass","svl_mm","match","Final_MR_O2_min"
"1",3,"12/4/21","423",1.45519311207788,11000,2,65,"XX_Female","6/2/21","Female","XX",0.893,32,"Data_04-13-2021_Bassiana_Mux2.exp.6",0.0223875863396597
"2",4,"12/4/21","423",1.43699490558884,15030,2,65,"XX_Female","6/2/21","Female","XX",0.893,32,"Data_04-13-2021_Bassiana_Mux2.exp.6",0.022107613932136
"3",5,"12/4/21","423",1.35174485585819,19250,2,65,"XX_Female","6/2/21","Female","XX",0.893,32,"Data_04-13-2021_Bassiana_Mux2.exp.6",0.0207960747055106
"4",6,"12/4/21","423",1.29018785720243,23450,2,65,"XX_Female","6/2/21","Female","XX",0.893,32,"Data_04-13-2021_Bassiana_Mux2.exp.6",0.0198490439569605
"5",7,"12/4/21","423",1.20317727163001,27650,2,65,"XX_Female","6/2/21","Female","XX",0.893,32,"Data_04-13-2021_Bassiana_Mux2.exp.6",0.0185104195635386
"6",8,"12/4/21","423",1.08806509625308,31850,2,65,"XX_Female","6/2/21","Female","XX",0.893,32,"Data_04-13-2021_Bassiana_Mux2.exp.6",0.0167394630192782
"7",9,"12/4/21","423",0.98117503497513,35960,2,65,"XX_Female","6/2/21","Female","XX",0.893,32,"Data_04-13-2021_Bassiana_Mux2.exp.6",0.0150950005380789
"8",10,"12/4/21","423",0.895248501818002,40160,2,65,"XX_Female","6/2/21","Female","XX",0.893,32,"Data_04-13-2021_Bassiana_Mux2.exp.6",0.0137730538741231
"9",11,"12/4/21","423",0.857470060711065,44360,2,65,"XX_Female","6/2/21","Female","XX",0.893,32,"Data_04-13-2021_Bassiana_Mux2.exp.6",0.0131918470878625
"10",12,"12/4/21","423",1.52769274680403,48500,2,65,"XX_Female","6/2/21","Female","XX",0.893,32,"Data_04-13-2021_Bassiana_Mux2.exp.6",0.0235029653354466
"11",13,"12/4/21","423",1.8347170163317,52600,2,65,"XX_Female","6/2/21","Female","XX",0.893,32,"Data_04-13-2021_Bassiana_Mux2.exp.6",0.0282264156358723
"12",16,"12/4/21","424",0.940110689226925,12200,2,65,"XX_Male","8/2/21","Male","XX",0.914,33,"Data_04-13-2021_Bassiana_Mux2.exp.8",0.0144632413727219
"13",17,"12/4/21","424",0.985878521834709,16250,2,65,"XX_Male","8/2/21","Male","XX",0.914,33,"Data_04-13-2021_Bassiana_Mux2.exp.8",0.0151673618743801
"14",18,"12/4/21","424",0.964038579686605,20450,2,65,"XX_Male","8/2/21","Male","XX",0.914,33,"Data_04-13-2021_Bassiana_Mux2.exp.8",0.0148313627644093
"15",19,"12/4/21","424",0.917922107079954,24650,2,65,"XX_Male","8/2/21","Male","XX",0.914,33,"Data_04-13-2021_Bassiana_Mux2.exp.8",0.0141218785704608
"16",20,"12/4/21","424",0.872452716809796,28850,2,65,"XX_Male","8/2/21","Male","XX",0.914,33,"Data_04-13-2021_Bassiana_Mux2.exp.8",0.0134223494893815
"17",21,"12/4/21","424",0.977290196457341,33050,2,65,"XX_Male","8/2/21","Male","XX",0.914,33,"Data_04-13-2021_Bassiana_Mux2.exp.8",0.0150352337916514
"18",22,"12/4/21","424",1.61609176507541,37160,2,65,"XX_Male","8/2/21","Male","XX",0.914,33,"Data_04-13-2021_Bassiana_Mux2.exp.8",0.0248629502319294
"19",23,"12/4/21","424",1.55025084077125,41360,2,65,"XX_Male","8/2/21","Male","XX",0.914,33,"Data_04-13-2021_Bassiana_Mux2.exp.8",0.0238500129349423
"20",24,"12/4/21","424",1.44120023838776,45560,2,65,"XX_Male","8/2/21","Male","XX",0.914,33,"Data_04-13-2021_Bassiana_Mux2.exp.8",0.0221723113598117
"21",25,"12/4/21","424",1.55693967755516,49600,2,65,"XX_Male","8/2/21","Male","XX",0.914,33,"Data_04-13-2021_Bassiana_Mux2.exp.8",0.0239529181162332
"22",26,"12/4/21","424",0.965971264852864,53800,2,65,"XX_Male","8/2/21","Male","XX",0.914,33,"Data_04-13-2021_Bassiana_Mux2.exp.8",0.0148610963823518
"23",29,"12/4/21","425_S",1.66360144237169,9200,1,65,"XX_Male","8/2/21","Male","XX",0.689,30,"Data_04-13-2021_Bassiana.exp.3",0.0255938683441798
"24",30,"12/4/21","425_S",1.63208589369836,13230,1,65,"XX_Male","8/2/21","Male","XX",0.689,30,"Data_04-13-2021_Bassiana.exp.3",0.0251090137492055
"25",31,"12/4/21","425_S",1.59656299627485,17450,1,65,"XX_Male","8/2/21","Male","XX",0.689,30,"Data_04-13-2021_Bassiana.exp.3",0.0245625076349977
"26",32,"12/4/21","425_S",1.44270891856446,21650,1,65,"XX_Male","8/2/21","Male","XX",0.689,30,"Data_04-13-2021_Bassiana.exp.3",0.0221955218240686
"27",33,"12/4/21","425_S",1.24792723272118,25850,1,65,"XX_Male","8/2/21","Male","XX",0.689,30,"Data_04-13-2021_Bassiana.exp.3",0.0191988805034028
"28",34,"12/4/21","425_S",1.05577002163233,30050,1,65,"XX_Male","8/2/21","Male","XX",0.689,30,"Data_04-13-2021_Bassiana.exp.3",0.0162426157174205
"29",35,"12/4/21","425_S",0.91223159277384,34160,1,65,"XX_Male","8/2/21","Male","XX",0.689,30,"Data_04-13-2021_Bassiana.exp.3",0.0140343321965206
"30",36,"12/4/21","425_S",0.829773873654945,38360,1,65,"XX_Male","8/2/21","Male","XX",0.689,30,"Data_04-13-2021_Bassiana.exp.3",0.0127657519023838
