,X,date.dd.mm.yy.,bd_liz_id,MR_O2_min,marker_sample,FMS,time_in_chamber,Geno.pheno,Date.Hatched,Phenotypic.Sex,Genotypic.Sex,mass,svl_mm,match,Final_MR_O2_min
1,3,12/4/21,423,1.455193112,11000,2,65,XX_Female,6/2/21,Female,XX,0.893,32,Data_04-13-2021_Bassiana_Mux2.exp.6,0.022387586
2,4,12/4/21,423,1.436994906,15030,2,65,XX_Female,6/2/21,Female,XX,0.893,32,Data_04-13-2021_Bassiana_Mux2.exp.6,0.022107614
3,5,12/4/21,423,1.351744856,19250,2,65,XX_Female,6/2/21,Female,XX,0.893,32,Data_04-13-2021_Bassiana_Mux2.exp.6,0.020796075
4,6,12/4/21,423,1.290187857,23450,2,65,XX_Female,6/2/21,Female,XX,0.893,32,Data_04-13-2021_Bassiana_Mux2.exp.6,0.019849044
5,7,12/4/21,423,1.203177272,27650,2,65,XX_Female,6/2/21,Female,XX,0.893,32,Data_04-13-2021_Bassiana_Mux2.exp.6,0.01851042
6,8,12/4/21,423,1.088065096,31850,2,65,XX_Female,6/2/21,Female,XX,0.893,32,Data_04-13-2021_Bassiana_Mux2.exp.6,0.016739463
7,9,12/4/21,423,0.981175035,35960,2,65,XX_Female,6/2/21,Female,XX,0.893,32,Data_04-13-2021_Bassiana_Mux2.exp.6,0.015095001
8,10,12/4/21,423,0.895248502,40160,2,65,XX_Female,6/2/21,Female,XX,0.893,32,Data_04-13-2021_Bassiana_Mux2.exp.6,0.013773054
9,11,12/4/21,423,0.857470061,44360,2,65,XX_Female,6/2/21,Female,XX,0.893,32,Data_04-13-2021_Bassiana_Mux2.exp.6,0.013191847
10,16,12/4/21,424,0.940110689,12200,2,65,XX_Male,8/2/21,Male,XX,0.914,33,Data_04-13-2021_Bassiana_Mux2.exp.8,0.014463241
11,17,12/4/21,424,0.985878522,16250,2,65,XX_Male,8/2/21,Male,XX,0.914,33,Data_04-13-2021_Bassiana_Mux2.exp.8,0.015167362
12,18,12/4/21,424,0.96403858,20450,2,65,XX_Male,8/2/21,Male,XX,0.914,33,Data_04-13-2021_Bassiana_Mux2.exp.8,0.014831363
13,19,12/4/21,424,0.917922107,24650,2,65,XX_Male,8/2/21,Male,XX,0.914,33,Data_04-13-2021_Bassiana_Mux2.exp.8,0.014121879
14,20,12/4/21,424,0.872452717,28850,2,65,XX_Male,8/2/21,Male,XX,0.914,33,Data_04-13-2021_Bassiana_Mux2.exp.8,0.013422349
15,21,12/4/21,424,0.977290196,33050,2,65,XX_Male,8/2/21,Male,XX,0.914,33,Data_04-13-2021_Bassiana_Mux2.exp.8,0.015035234
16,22,12/4/21,424,1.616091765,37160,2,65,XX_Male,8/2/21,Male,XX,0.914,33,Data_04-13-2021_Bassiana_Mux2.exp.8,0.02486295
17,23,12/4/21,424,1.550250841,41360,2,65,XX_Male,8/2/21,Male,XX,0.914,33,Data_04-13-2021_Bassiana_Mux2.exp.8,0.023850013
18,24,12/4/21,424,1.441200238,45560,2,65,XX_Male,8/2/21,Male,XX,0.914,33,Data_04-13-2021_Bassiana_Mux2.exp.8,0.022172311
19,29,12/4/21,425_S,1.663601442,9200,1,65,XX_Male,8/2/21,Male,XX,0.689,30,Data_04-13-2021_Bassiana.exp.3,0.025593868
20,30,12/4/21,425_S,1.632085894,13230,1,65,XX_Male,8/2/21,Male,XX,0.689,30,Data_04-13-2021_Bassiana.exp.3,0.025109014
21,31,12/4/21,425_S,1.596562996,17450,1,65,XX_Male,8/2/21,Male,XX,0.689,30,Data_04-13-2021_Bassiana.exp.3,0.024562508
22,32,12/4/21,425_S,1.442708919,21650,1,65,XX_Male,8/2/21,Male,XX,0.689,30,Data_04-13-2021_Bassiana.exp.3,0.022195522
23,33,12/4/21,425_S,1.247927233,25850,1,65,XX_Male,8/2/21,Male,XX,0.689,30,Data_04-13-2021_Bassiana.exp.3,0.019198881
24,34,12/4/21,425_S,1.055770022,30050,1,65,XX_Male,8/2/21,Male,XX,0.689,30,Data_04-13-2021_Bassiana.exp.3,0.016242616
25,35,12/4/21,425_S,0.912231593,34160,1,65,XX_Male,8/2/21,Male,XX,0.689,30,Data_04-13-2021_Bassiana.exp.3,0.014034332
26,36,12/4/21,425_S,0.829773874,38360,1,65,XX_Male,8/2/21,Male,XX,0.689,30,Data_04-13-2021_Bassiana.exp.3,0.012765752
27,37,12/4/21,425_S,0.797827202,42560,1,65,XX_Male,8/2/21,Male,XX,0.689,30,Data_04-13-2021_Bassiana.exp.3,0.012274265
28,42,12/4/21,427,1.667660976,10400,1,65,XY_Male,8/2/21,Male,XY,0.836,29,Data_04-13-2021_Bassiana.exp.5,0.025656323
29,43,12/4/21,427,1.526593541,14430,1,65,XY_Male,8/2/21,Male,XY,0.836,29,Data_04-13-2021_Bassiana.exp.5,0.023486054
30,44,12/4/21,427,1.431331237,18650,1,65,XY_Male,8/2/21,Male,XY,0.836,29,Data_04-13-2021_Bassiana.exp.5,0.022020481
31,45,12/4/21,427,1.323757303,22850,1,65,XY_Male,8/2/21,Male,XY,0.836,29,Data_04-13-2021_Bassiana.exp.5,0.020365497
32,46,12/4/21,427,1.230316017,27050,1,65,XY_Male,8/2/21,Male,XY,0.836,29,Data_04-13-2021_Bassiana.exp.5,0.018927939
33,47,12/4/21,427,1.099916647,31250,1,65,XY_Male,8/2/21,Male,XY,0.836,29,Data_04-13-2021_Bassiana.exp.5,0.016921795
34,48,12/4/21,427,1.006689605,35360,1,65,XY_Male,8/2/21,Male,XY,0.836,29,Data_04-13-2021_Bassiana.exp.5,0.015487532
35,49,12/4/21,427,1.122271771,39560,1,65,XY_Male,8/2/21,Male,XY,0.836,29,Data_04-13-2021_Bassiana.exp.5,0.01726572
36,50,12/4/21,427,2.775866504,43760,1,65,XY_Male,8/2/21,Male,XY,0.836,29,Data_04-13-2021_Bassiana.exp.5,0.042705639
37,55,12/4/21,447,1.743319235,9800,1,65,XX_Female,1/2/21,Female,XX,0.781,31,Data_04-13-2021_Bassiana.exp.4,0.026820296
38,56,12/4/21,447,1.748020674,13830,1,65,XX_Female,1/2/21,Female,XX,0.781,31,Data_04-13-2021_Bassiana.exp.4,0.026892626
39,57,12/4/21,447,1.650033008,18050,1,65,XX_Female,1/2/21,Female,XX,0.781,31,Data_04-13-2021_Bassiana.exp.4,0.025385123
40,58,12/4/21,447,1.50139548,22250,1,65,XX_Female,1/2/21,Female,XX,0.781,31,Data_04-13-2021_Bassiana.exp.4,0.023098392
41,59,12/4/21,447,1.328363885,26450,1,65,XX_Female,1/2/21,Female,XX,0.781,31,Data_04-13-2021_Bassiana.exp.4,0.020436367
42,60,12/4/21,447,1.083238772,30650,1,65,XX_Female,1/2/21,Female,XX,0.781,31,Data_04-13-2021_Bassiana.exp.4,0.016665212
43,61,12/4/21,447,0.945608198,34760,1,65,XX_Female,1/2/21,Female,XX,0.781,31,Data_04-13-2021_Bassiana.exp.4,0.014547818
44,62,12/4/21,447,0.857554769,38960,1,65,XX_Female,1/2/21,Female,XX,0.781,31,Data_04-13-2021_Bassiana.exp.4,0.01319315
45,63,12/4/21,447,0.929077316,43160,1,65,XX_Female,1/2/21,Female,XX,0.781,31,Data_04-13-2021_Bassiana.exp.4,0.014293497
46,68,12/4/21,448,1.935506997,12200,1,65,XY_Male,1/2/21,Male,XY,0.814,30,Data_04-13-2021_Bassiana.exp.8,0.029777031
47,69,12/4/21,448,1.864199909,16250,1,65,XY_Male,1/2/21,Male,XY,0.814,30,Data_04-13-2021_Bassiana.exp.8,0.028679999
48,70,12/4/21,448,1.824009692,20450,1,65,XY_Male,1/2/21,Male,XY,0.814,30,Data_04-13-2021_Bassiana.exp.8,0.028061688
49,71,12/4/21,448,1.682342609,24650,1,65,XY_Male,1/2/21,Male,XY,0.814,30,Data_04-13-2021_Bassiana.exp.8,0.025882194
50,72,12/4/21,448,1.447203089,28850,1,65,XY_Male,1/2/21,Male,XY,0.814,30,Data_04-13-2021_Bassiana.exp.8,0.022264663
51,73,12/4/21,448,1.193006445,33050,1,65,XY_Male,1/2/21,Male,XY,0.814,30,Data_04-13-2021_Bassiana.exp.8,0.018353945
52,74,12/4/21,448,1.428268618,37160,1,65,XY_Male,1/2/21,Male,XY,0.814,30,Data_04-13-2021_Bassiana.exp.8,0.021973363
53,75,12/4/21,448,1.240449502,41360,1,65,XY_Male,1/2/21,Male,XY,0.814,30,Data_04-13-2021_Bassiana.exp.8,0.019083838
54,76,12/4/21,448,1.282974496,45560,1,65,XY_Male,1/2/21,Male,XY,0.814,30,Data_04-13-2021_Bassiana.exp.8,0.019738069
55,81,12/4/21,449,0.809613678,8600,1,65,XY_Male,1/2/21,Male,XY,0.697,30,Data_04-13-2021_Bassiana.exp.2,0.012455595
56,82,12/4/21,449,0.807322284,12630,1,65,XY_Male,1/2/21,Male,XY,0.697,30,Data_04-13-2021_Bassiana.exp.2,0.012420343
57,83,12/4/21,449,0.794381432,16850,1,65,XY_Male,1/2/21,Male,XY,0.697,30,Data_04-13-2021_Bassiana.exp.2,0.012221253
58,84,12/4/21,449,0.754317642,21050,1,65,XY_Male,1/2/21,Male,XY,0.697,30,Data_04-13-2021_Bassiana.exp.2,0.011604887
59,85,12/4/21,449,0.683282657,25250,1,65,XY_Male,1/2/21,Male,XY,0.697,30,Data_04-13-2021_Bassiana.exp.2,0.010512041
60,86,12/4/21,449,0.610188795,29450,1,65,XY_Male,1/2/21,Male,XY,0.697,30,Data_04-13-2021_Bassiana.exp.2,0.00938752
61,87,12/4/21,449,0.537375258,33560,1,65,XY_Male,1/2/21,Male,XY,0.697,30,Data_04-13-2021_Bassiana.exp.2,0.008267312
62,88,12/4/21,449,0.471805046,37760,1,65,XY_Male,1/2/21,Male,XY,0.697,30,Data_04-13-2021_Bassiana.exp.2,0.007258539
63,89,12/4/21,449,0.694330934,41960,1,65,XY_Male,1/2/21,Male,XY,0.697,30,Data_04-13-2021_Bassiana.exp.2,0.010682014
64,94,12/4/21,453,0.598514867,10400,2,65,XX_Male,7/2/21,Male,XX,0.589,28,Data_04-13-2021_Bassiana_Mux2.exp.5,0.009207921
65,95,12/4/21,453,0.612560643,14430,2,65,XX_Male,7/2/21,Male,XX,0.589,28,Data_04-13-2021_Bassiana_Mux2.exp.5,0.00942401
66,96,12/4/21,453,0.635086494,18650,2,65,XX_Male,7/2/21,Male,XX,0.589,28,Data_04-13-2021_Bassiana_Mux2.exp.5,0.009770561
67,97,12/4/21,453,0.610141994,22850,2,65,XX_Male,7/2/21,Male,XX,0.589,28,Data_04-13-2021_Bassiana_Mux2.exp.5,0.0093868
68,98,12/4/21,453,0.578589682,27050,2,65,XX_Male,7/2/21,Male,XX,0.589,28,Data_04-13-2021_Bassiana_Mux2.exp.5,0.00890138
69,99,12/4/21,453,0.677989167,31250,2,65,XX_Male,7/2/21,Male,XX,0.589,28,Data_04-13-2021_Bassiana_Mux2.exp.5,0.010430603
70,100,12/4/21,453,0.789141535,35360,2,65,XX_Male,7/2/21,Male,XX,0.589,28,Data_04-13-2021_Bassiana_Mux2.exp.5,0.012140639
71,101,12/4/21,453,0.58273633,39560,2,65,XX_Male,7/2/21,Male,XX,0.589,28,Data_04-13-2021_Bassiana_Mux2.exp.5,0.008965174
72,102,12/4/21,453,0.557656971,43760,2,65,XX_Male,7/2/21,Male,XX,0.589,28,Data_04-13-2021_Bassiana_Mux2.exp.5,0.008579338
73,107,12/4/21,461,0.939521135,9800,2,65,XY_Male,6/2/21,Male,XY,0.719,33,Data_04-13-2021_Bassiana_Mux2.exp.4,0.014454171
74,108,12/4/21,461,0.933898613,13830,2,65,XY_Male,6/2/21,Male,XY,0.719,33,Data_04-13-2021_Bassiana_Mux2.exp.4,0.014367671
75,109,12/4/21,461,0.921150487,18050,2,65,XY_Male,6/2/21,Male,XY,0.719,33,Data_04-13-2021_Bassiana_Mux2.exp.4,0.014171546
76,110,12/4/21,461,0.85974015,22250,2,65,XY_Male,6/2/21,Male,XY,0.719,33,Data_04-13-2021_Bassiana_Mux2.exp.4,0.013226772
77,111,12/4/21,461,0.762222272,26450,2,65,XY_Male,6/2/21,Male,XY,0.719,33,Data_04-13-2021_Bassiana_Mux2.exp.4,0.011726496
78,112,12/4/21,461,0.652236677,30650,2,65,XY_Male,6/2/21,Male,XY,0.719,33,Data_04-13-2021_Bassiana_Mux2.exp.4,0.01003441
79,113,12/4/21,461,0.55656778,34760,2,65,XY_Male,6/2/21,Male,XY,0.719,33,Data_04-13-2021_Bassiana_Mux2.exp.4,0.008562581
80,114,12/4/21,461,0.519046361,38960,2,65,XY_Male,6/2/21,Male,XY,0.719,33,Data_04-13-2021_Bassiana_Mux2.exp.4,0.007985329
81,115,12/4/21,461,0.832185476,43160,2,65,XY_Male,6/2/21,Male,XY,0.719,33,Data_04-13-2021_Bassiana_Mux2.exp.4,0.012802853
82,120,12/4/21,462,0.854335957,11000,1,65,XX_Male,6/2/21,Male,XX,0.663,30,Data_04-13-2021_Bassiana.exp.6,0.01314363
83,121,12/4/21,462,0.898206356,15030,1,65,XX_Male,6/2/21,Male,XX,0.663,30,Data_04-13-2021_Bassiana.exp.6,0.013818559
84,122,12/4/21,462,0.902789861,19250,1,65,XX_Male,6/2/21,Male,XX,0.663,30,Data_04-13-2021_Bassiana.exp.6,0.013889075
85,123,12/4/21,462,0.899768911,23450,1,65,XX_Male,6/2/21,Male,XX,0.663,30,Data_04-13-2021_Bassiana.exp.6,0.013842599
86,124,12/4/21,462,0.911090298,27650,1,65,XX_Male,6/2/21,Male,XX,0.663,30,Data_04-13-2021_Bassiana.exp.6,0.014016774
87,125,12/4/21,462,0.960596647,31850,1,65,XX_Male,6/2/21,Male,XX,0.663,30,Data_04-13-2021_Bassiana.exp.6,0.01477841
88,126,12/4/21,462,1.349302584,35960,1,65,XX_Male,6/2/21,Male,XX,0.663,30,Data_04-13-2021_Bassiana.exp.6,0.020758501
89,127,12/4/21,462,1.286566252,40160,1,65,XX_Male,6/2/21,Male,XX,0.663,30,Data_04-13-2021_Bassiana.exp.6,0.019793327
90,128,12/4/21,462,1.523323586,44360,1,65,XX_Male,6/2/21,Male,XX,0.663,30,Data_04-13-2021_Bassiana.exp.6,0.023435747
91,133,12/4/21,464,1.178248694,8600,2,65,XX_Female,6/2/21,Female,XX,0.678,30,Data_04-13-2021_Bassiana_Mux2.exp.2,0.018126903
92,134,12/4/21,464,1.116798769,12630,2,65,XX_Female,6/2/21,Female,XX,0.678,30,Data_04-13-2021_Bassiana_Mux2.exp.2,0.01718152
93,135,12/4/21,464,1.096041237,16850,2,65,XX_Female,6/2/21,Female,XX,0.678,30,Data_04-13-2021_Bassiana_Mux2.exp.2,0.016862173
94,136,12/4/21,464,1.02902302,21050,2,65,XX_Female,6/2/21,Female,XX,0.678,30,Data_04-13-2021_Bassiana_Mux2.exp.2,0.015831123
95,137,12/4/21,464,1.076382711,25250,2,65,XX_Female,6/2/21,Female,XX,0.678,30,Data_04-13-2021_Bassiana_Mux2.exp.2,0.016559734
96,138,12/4/21,464,1.378912722,29450,2,65,XX_Female,6/2/21,Female,XX,0.678,30,Data_04-13-2021_Bassiana_Mux2.exp.2,0.021214042
97,139,12/4/21,464,1.627234728,33560,2,65,XX_Female,6/2/21,Female,XX,0.678,30,Data_04-13-2021_Bassiana_Mux2.exp.2,0.02503438
98,140,12/4/21,464,1.519090116,37760,2,65,XX_Female,6/2/21,Female,XX,0.678,30,Data_04-13-2021_Bassiana_Mux2.exp.2,0.023370617
99,141,12/4/21,464,1.465258257,41960,2,65,XX_Female,6/2/21,Female,XX,0.678,30,Data_04-13-2021_Bassiana_Mux2.exp.2,0.022542435
100,146,12/4/21,469,1.747514308,11600,2,65,XX_Female,6/2/21,Female,XX,0.835,33,Data_04-13-2021_Bassiana_Mux2.exp.7,0.026884836
